,Player,Years Played,Height(cm),FT Pct
1897,George Hill,12,193.04,0.8064117647058824
1901,Solomon Hill,7,198.12,0.7862
1926,Aaron Holiday,2,182.88,0.8346666666666666
1927,Jrue Holiday,11,190.5,0.78425
1928,Justin Holiday,8,198.12,0.7926666666666667
1938,Richaun Holmes,5,208.28,0.7306666666666666
1948,Rodney Hood,6,203.2,0.8485454545454545
1958,Al Horford,13,205.74,0.7377142857142857
1965,Talen Horton-Tucker,1,193.04,0.682
1968,Danuel House,4,198.12,0.7765
1974,Dwight Howard,16,208.28,0.5585882352941176
1990,Kevin Huerter,2,200.66,0.802
2009,De'Andre Hunter,1,203.2,0.8205
2021,Chandler Hutchison,2,198.12,0.7316666666666666
2025,Serge Ibaka,11,208.28,0.759
2026,Andre Iguodala,16,198.12,0.6548235294117647
2033,Joe Ingles,6,200.66,0.7534285714285713
2036,Brandon Ingram,4,203.2,0.7350000000000001
2041,Kyrie Irving,9,187.96,0.8859999999999999
2049,Wesley Iwundu,3,198.12,0.77325
2058,Frank Jackson,2,190.5,0.7435
2064,Josh Jackson,3,203.2,0.65975
2065,Justin Jackson,3,203.2,0.7818333333333333
2078,Reggie Jackson,9,187.96,0.8324285714285715
2096,Justin James,1,200.66,0.3095
2097,LeBron James,17,205.74,0.7305555555555555
2147,Cameron Johnson,1,203.2,0.8155000000000001
2174,James Johnson,11,200.66,0.653
2178,Keldon Johnson,1,195.58,0.7865
2198,Stanley Johnson,5,198.12,0.721875
2203,Tyler Johnson,6,190.5,0.7971
2210,Nikola Jokić,5,210.82,0.8278333333333333
2224,Damian Jones,4,210.82,0.5374
2227,Derrick Jones,4,195.58,0.677
2263,Tyus Jones,5,182.88,0.7763333333333334
2270,DeAndre Jordan,12,210.82,0.5242
2281,Cory Joseph,9,190.5,0.7634000000000001
2288,Mfiondu Kabengele,1,205.74,0.875
2293,Frank Kaminsky,5,213.36,0.6883333333333334
2294,Enes Kanter,9,208.28,0.7732142857142857
2326,Luke Kennard,3,195.58,0.85425
2386,Maxi Kleber,3,208.28,0.810
2406,Kevin Knox,2,200.66,0.7343333333333334
2412,John Konchar,1,195.58,0.75
2416,Furkan Korkmaz,3,200.66,0.7324999999999999
2418,Luke Kornet,3,218.44,0.81675
2452,Rodions Kurucs,2,205.74,0.7075
2455,Kyle Kuzma,3,208.28,0.7092499999999999
2463,Zach LaVine,6,195.58,0.8277142857142855
2476,Jeremy Lamb,8,195.58,0.865111111111111
2514,Jake Layman,4,203.2,0.7328
2516,Caris LeVert,4,198.12,0.7196
2523,Jalen Lecque,1,193.04,1.0
2528,Damion Lee,3,195.58,0.8477500000000001
2547,Alex Len,7,213.36,0.6345000000000001
2551,Kawhi Leonard,9,200.66,0.8412
2552,Meyers Leonard,8,213.36,0.7721111111111111
2580,Damian Lillard,8,187.96,0.892
2584,Nassir Little,1,195.58,0.6930000000000001
2614,Kevon Looney,5,205.74,0.6448
2615,Brook Lopez,12,213.36,0.7876153846153847
2618,Robin Lopez,12,213.36,0.7185384615384616
2624,Kevin Love,12,203.2,0.8260000000000003
2629,Kyle Lowry,14,182.88,0.8191176470588235
2643,Timothé Luwawu-Cabarrot,4,200.66,0.7847142857142858
2645,Trey Lyles,5,205.74,0.6638333333333333
2687,Thon Maker,4,213.36,0.6998571428571428
2700,Terance Mann,1,195.58,0.5835
2717,Boban Marjanović,5,223.52,0.7636999999999999
2718,Lauri Markkanen,3,213.36,0.84425
2734,Caleb Martin,1,195.58,0.6990000000000001
2736,Cody Martin,1,195.58,0.698
2745,Kelan Martin,1,195.58,0.968
2763,Garrison Mathews,1,195.58,0.897
2768,Wesley Matthews,11,193.04,0.8126666666666668
2812,CJ McCollum,7,190.5,0.797375
2815,T.J. McConnell,5,185.42000000000002,0.6983333333333334
2829,Jalen McDaniels,1,205.74,0.73
2832,Doug McDermott,6,200.66,0.8008181818181819
2845,JaVale McGee,12,213.36,0.6035294117647059
2853,Rodney McGruder,4,193.04,0.6801999999999999
2874,Alfonzo McKinnie,3,200.66,0.735
2875,Jordan McLaughlin,1,180.34,0.7335
2876,Ben McLemore,7,190.5,0.7661250000000001
2915,Nicolò Melli,1,205.74,0.745
2917,De'Anthony Melton,2,187.96,0.673
2930,Chimezie Metu,2,205.74,0.7336666666666667
2937,Khris Middleton,8,200.66,0.8771111111111112
2958,Darius Miller,8,198.12,0.8652500000000001
2972,Patty Mills,11,185.42000000000002,0.8373333333333334
2975,Paul Millsap,14,200.66,0.7325333333333333
2976,Shake Milton,2,195.58,0.7946666666666667
2986,Donovan Mitchell,3,182.88,0.82625
3005,Adam Mokoka,1,193.04,0.5
3011,Malik Monk,3,190.5,0.8027500000000001
3023,E'Twaun Moore,9,190.5,0.738
3034,Ja Morant,1,190.5,0.7909999999999999
3038,Juwan Morgan,1,200.66,0.75
3046,Marcus Morris,9,203.2,0.7378571428571429
3047,Markieff Morris,9,205.74,0.7671874999999999
3049,Monte Morris,3,187.96,0.83975
3074,Mychal Mulder,1,190.5,0.7085
3096,Dejounte Murray,4,193.04,0.7487499999999999
3097,Jamal Murray,4,190.5,0.86
3106,Mike Muscala,7,208.28,0.8552
3112,Sviatoslav Mykhailiuk,2,200.66,0.7222500000000001
3120,Abdel Nader,3,195.58,0.6950000000000001
3126,Larry Nance,5,200.66,0.7555333333333334
3158,Raul Neto,5,185.42000000000002,0.7866666666666666
3171,Georges Niang,4,200.66,0.8332
3188,Nerlens Noel,6,210.82,0.6673333333333333
3207,Jaylen Nowell,1,193.04,0.9704999999999999
3210,Frank Ntilikina,3,193.04,0.775
3211,Kendrick Nunn,1,187.96,0.8585
3213,Jusuf Nurkić,6,210.82,0.6471111111111111
3215,David Nwaba,4,195.58,0.6643999999999999
3238,Royce O'Neale,3,193.04,0.765
3254,Semi Ojeleye,3,198.12,0.7035
3256,Jahlil Okafor,5,208.28,0.643625
3259,Josh Okogie,2,193.04,0.763
3262,KZ Okpala,1,203.2,0.4165
3264,Victor Oladipo,7,193.04,0.7668000000000001
3278,Kelly Olynyk,7,210.82,0.7695000000000001
3279,Miye Oni,1,195.58,0.65
3288,Cedi Osman,3,200.66,0.718
3295,Kelly Oubre,5,200.66,0.777
3349,Eric Paschall,1,198.12,0.776
3350,Anžejs Pasečņiks,1,215.9,0.586
3359,Patrick Patterson,10,203.2,0.7437333333333332
3366,Chris Paul,15,182.88,0.8789374999999999
3376,Cameron Payne,5,185.42000000000002,0.7647
3379,Elfrid Payton,6,190.5,0.6464444444444445
3446,Theo Pinson,2,195.58,0.901
3455,Mason Plumlee,7,210.82,0.5770000000000001
3459,Jakob Poeltl,4,215.9,0.47479999999999994
3460,Vincent Poirier,1,213.36,0.6785
3470,Jordan Poole,1,193.04,0.8634999999999999
3479,Michael Porter,1,208.28,0.837
3480,Otto Porter,7,203.2,0.7837
3483,Bobby Portis,5,208.28,0.756625
3485,Kristaps Porziņģis,5,220.98,0.8051999999999999
3492,Dwight Powell,6,208.28,0.7127777777777778
3495,Norman Powell,5,190.5,0.8234999999999998
3514,Taurean Prince,4,200.66,0.8422857142857144
3558,Julius Randle,6,203.2,0.6334285714285713
3587,Cam Reddish,1,203.2,0.8175
3589,J.J. Redick,14,190.5,0.8944117647058822
3606,Naz Reid,1,205.74,0.732
3631,Josh Richardson,5,195.58,0.8170000000000001
3657,Austin Rivers,8,193.04,0.6139230769230769
3685,Duncan Robinson,2,200.66,0.8256666666666667
3689,Glenn Robinson,6,198.12,0.8285454545454545
3693,Jerome Robinson,2,193.04,0.7222000000000001
3696,Mitchell Robinson,2,213.36,0.5353333333333333
3708,Isaiah Roby,1,203.2,0.7140000000000001
3730,Rajon Rondo,14,185.42000000000002,0.5682941176470588
3733,Derrick Rose,12,187.96,0.827
3742,Terrence Ross,8,198.12,0.8170909090909092
3759,Terry Rozier,5,185.42000000000002,0.7891666666666666
3760,Ricky Rubio,9,190.5,0.841
3780,D'Angelo Russell,5,193.04,0.769
3787,Domantas Sabonis,4,210.82,0.7055999999999999
3796,Luka Šamanić,1,208.28,0.625
3799,JaKarr Sampson,6,200.66,0.698375
3815,Dario Šarić,4,208.28,0.8662857142857143
3818,Tomáš Satoranský,4,200.66,0.7774
3855,Dennis Schröder,7,190.5,0.8058750000000001
3868,Mike Scott,8,200.66,0.7405454545454546
3898,Collin Sexton,2,185.42000000000002,0.832
3906,Landry Shamet,2,193.04,0.8320000000000001
3937,Pascal Siakam,4,205.74,0.7306
3951,Chris Silva,1,203.2,0.7529999999999999
3953,Ben Simmons,3,210.82,0.597
3964,Anfernee Simons,2,190.5,0.6853333333333333
3998,Marcus Smart,6,190.5,0.7640000000000001
4014,Dennis Smith,3,187.96,0.65
4025,Ish Smith,10,182.88,0.61705
4065,Tony Snell,7,198.12,0.8497142857142858
